Love-story Fearless 2021
Seven Folklore 2020
Cruel-Summer Lover 2019
All-Too-Well Red 2021
This-Love 1989 2022
Fifteen Fearless 2021
Mirrorball Folklore 2020
Mine Speak-Now 2023
Getaway-Car Reputation 2017
Enchanted Speak-Now 2023
